GameID,Date,Time,White,WhiteElo,WhiteRatingDiff,Black,BlackElo,BlackRatingDiff,TotalMoves,ECO,Opening,TimeControl,Termination,Result
18,2024.01.01,00:13:29,daniel_mrdkvch,1488,5,neset_2014,1426,-5,75,A40,English Defense,60+0,Time forfeit,1-0
19,2024.01.01,00:12:47,heubueno,1112,-5,jakmatasegurat,1150,5,98,A05,King's Indian Attack,180+2,Normal,0-1
20,2024.01.01,00:13:34,WHATSYOUR,1399,-7,Ali_R7,1317,7,50,B30,Sicilian Defense: Old Sicilian,180+0,Normal,0-1
21,2024.01.01,00:13:53,SaadTheGlad,1306,5,AJLovelock,1226,-23,73,B12,Caro-Kann Defense: Maróczy Variation,300+0,Time forfeit,1-0
22,2024.01.01,00:15:03,Emilio500,1859,-6,RedTintyDot,1896,5,56,C50,"Italian Game: Giuoco Pianissimo, Normal",60+0,Normal,0-1
23,2024.01.01,00:15:05,mateiluc,1546,-6,fpazcapri21,1511,6,108,D00,Queen's Pawn Game: Mason Attack,300+0,Normal,0-1
24,2024.01.01,00:15:05,muhamed66,1134,-28,scrub2goat,1004,27,94,C50,Four Knights Game: Italian Variation,300+0,Normal,0-1
25,2024.01.01,00:14:46,deliam,2241,-7,drope99,2152,7,76,B20,Sicilian Defense: Mengarini Variation,180+0,Time forfeit,0-1
26,2024.01.01,00:15:13,arrow95,2536,4,dumauBR,2407,-4,71,B22,Sicilian Defense: Alapin Variation,60+0,Time forfeit,1-0
27,2024.01.01,00:15:16,superdav,1474,6,Borgov123,1491,-8,15,D00,Queen's Pawn Game: Chigorin Variation,600+5,Time forfeit,1-0
28,2024.01.01,00:15:48,Roi-Georges,1805,4,Archiethedogo2,1760,-42,93,B10,Caro-Kann Defense,60+0,Time forfeit,1-0
29,2024.01.01,00:15:57,radeorhideja,1542,-5,LotsaLizards,1539,6,60,C20,King's Pawn Game: Leonardis Variation,60+0,Normal,0-1
30,2024.01.01,00:16:51,kaykay610,1685,-4,s2d9a,1753,5,68,B20,Sicilian Defense: Bowdler Attack,120+1,Normal,0-1
31,2024.01.01,00:17:10,Retiredandslow,2571,-6,Resevilchess,2579,6,56,C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",60+0,Time forfeit,0-1
32,2024.01.01,00:17:24,astutepattern,2247,7,pawnpushersaccademy,2377,-8,93,C84,"Ruy Lopez: Closed, Martinez Variation",180+0,Normal,1-0
33,2024.01.01,00:17:22,Julian-5_2-KKG,1239,-7,JasvX,1111,7,86,C47,Four Knights Game: Scotch Variation,60+0,Normal,0-1
34,2024.01.01,00:17:36,elmerio,1516,7,Firat1,1570,-6,39,B00,Owen Defense,180+2,Normal,1-0
35,2024.01.01,00:18:20,joniche,1311,12,pacbarnabe,1367,-7,47,C50,Italian Game: Anti-Fried Liver Defense,180+0,Time forfeit,1-0
36,2024.01.01,00:18:29,Lc4,1826,-6,sleeplessknight2,1844,5,40,B21,Sicilian Defense: Smith-Morra Gambit,120+1,Normal,0-1
37,2024.01.01,00:18:35,azael2012,1791,6,ferrucciolari,1785,-6,33,B40,Sicilian Defense: French Variation,300+3,Normal,1-0
38,2024.01.01,00:18:41,vladmytko23,1431,-7,Magafi,1436,8,80,C50,Italian Game: Giuoco Piano,180+2,Normal,0-1
39,2024.01.01,00:19:26,Alejandrogc15,1978,53,jjpineda,2092,-7,65,C38,King's Gambit Accepted: Traditional Variation,180+2,Time forfeit,1-0
40,2024.01.01,00:19:27,b0147,1547,-6,majedmmh123,1503,7,48,D10,Slav Defense,300+3,Normal,0-1
41,2024.01.01,00:20:15,azul_Borges89,1511,6,Woland_1984,1561,-6,61,A01,Nimzo-Larsen Attack: Modern Variation,60+0,Normal,1-0
42,2024.01.01,00:21:44,EdgeTransit,1320,-5,jain_nikunj,1335,6,24,D00,Queen's Pawn Game: Accelerated London System,600+5,Normal,0-1
43,2024.01.01,00:22:02,chess2024games1,2086,-78,LSDELFIN,1991,7,124,C50,Italian Game: Giuoco Piano,180+2,Normal,0-1
44,2024.01.01,00:22:25,sandroc22,1667,-5,Mario_raguine,1669,5,36,C50,Italian Game: Hungarian Defense,180+0,Normal,0-1
45,2024.01.01,00:23:02,Ramsesfromcuba,2146,4,venusinuniform,1994,-4,67,D70,Neo-Grünfeld Defense: with Nf3,180+2,Time forfeit,1-0
46,2024.01.01,00:23:31,Camaron1,1816,7,PlixMax,1919,-7,25,C34,King's Gambit Accepted: Fischer Defense,300+3,Normal,1-0
47,2024.01.01,00:23:46,BADADAN,1955,-5,felderbento,1985,5,50,B01,Scandinavian Defense,60+0,Normal,0-1
48,2024.01.01,00:23:43,alonch93,1779,5,mehmetogun,1757,-5,87,B01,Scandinavian Defense: Modern Variation,600+0,Normal,1-0
49,2024.01.01,00:24:25,Silent3D,1246,6,TataAgatha,1215,-6,79,B00,Pirc Defense,120+1,Time forfeit,1-0
50,2024.01.01,00:25:08,izzyfreezzy,1606,18,CurlyMagi,1641,-6,45,A40,Englund Gambit Complex: Englund Gambit,600+0,Normal,1-0
51,2024.01.01,00:26:30,Fabian2003_UTP,1655,-6,sabigupta,1661,16,44,A40,Englund Gambit Complex Declined,180+0,Normal,0-1
52,2024.01.01,00:26:31,RickyFishman,1605,8,michal_99,1428,-3,71,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",180+2,Normal,1-0
53,2024.01.01,00:26:28,Emziiz,1638,5,Ricardotraversa,1635,-6,93,C41,Philidor Defense,300+0,Normal,1-0
54,2024.01.01,00:26:47,AbdelhayK,994,-3,Posi_K,1123,38,46,B01,Scandinavian Defense: Mieses-Kotroc Variation,600+0,Normal,0-1
55,2024.01.01,00:26:50,teking,1772,6,themessenger121,1800,-6,45,A40,Queen's Pawn Game,180+2,Time forfeit,1-0
56,2024.01.01,00:27:50,r3f3l,1494,-5,SSayayin,1530,7,70,A40,Horwitz Defense,300+3,Time forfeit,0-1
57,2024.01.01,00:27:50,Shark2014,1972,6,rinat8181,1985,-5,83,B06,Modern Defense,600+5,Time forfeit,1-0
58,2024.01.01,00:28:33,r2d2w2,2328,5,Rcyx,2272,-5,41,D02,Queen's Pawn Game: Symmetrical Variation,180+2,Normal,1-0
59,2024.01.01,00:28:33,AegisTalus,1039,-7,Ovchardp,974,7,86,C50,"Italian Game: Giuoco Pianissimo, Normal",600+0,Normal,0-1
60,2024.01.01,00:28:53,RNAV30Z,2414,4,talkasparov13,2350,-5,71,B00,Rat Defense: Antal Defense,180+2,Normal,1-0
61,2024.01.01,00:30:00,petersobhi5,1272,-7,Offline50,1248,10,44,D06,Queen's Gambit Declined: Marshall Defense,300+3,Normal,0-1
62,2024.01.01,00:29:46,white-widow64,2228,7,fredgra2,2275,-7,47,A01,Nimzo-Larsen Attack: Modern Variation,180+2,Normal,1-0
63,2024.01.01,00:30:57,gingerlorddk,1437,-15,Jack_Bandito,1444,5,98,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",180+2,Time forfeit,0-1
64,2024.01.01,00:30:46,luchle,2180,-5,BluesRock70s,2172,6,48,A20,English Opening: King's English Variation,180+2,Normal,0-1
65,2024.01.01,00:31:17,Jose_David88,2165,-5,SKP_chess,2217,5,60,B87,"Sicilian Defense: Sozin Attack, Flank Variation",600+0,Normal,0-1
66,2024.01.01,00:31:18,perko19,1658,-7,Adam_R_M,1611,8,42,A00,Polish Opening,120+1,Normal,0-1
67,2024.01.01,00:32:02,lukas919112,1098,27,gustavomcr,1320,-3,76,C00,French Defense,600+15,Normal,1/2-1/2
68,2024.01.01,00:33:12,Sajiz,1007,-6,akshaynag,941,7,58,C40,Elephant Gambit,300+3,Normal,0-1
69,2024.01.01,00:34:34,kareem121312,940,7,robbchess,1005,-7,33,A41,Queen's Pawn Game,180+0,Normal,1-0
70,2024.01.01,00:34:50,RenatuCarvalhJ,1982,-7,corndogs,1943,6,104,C41,Philidor Defense,120+1,Time forfeit,0-1
71,2024.01.01,00:34:55,weaintfoundsht,1299,5,Firehoax,1299,-7,91,A01,Nimzo-Larsen Attack: Indian Variation,300+3,Normal,1-0
72,2024.01.01,00:35:14,Juangomez693,1760,-5,irfanchesspower,1663,199,56,B27,Sicilian Defense: Hyperaccelerated Dragon,900+1,Normal,0-1
73,2024.01.01,00:35:57,OilychessWilly,1917,6,Elboty1982,1915,-5,57,B00,Owen Defense,180+0,Normal,1-0
74,2024.01.01,00:36:15,said2016,1503,-5,Warcyn,1559,5,64,A00,Van't Kruijs Opening,300+3,Normal,0-1
75,2024.01.01,00:36:03,frankhahn,1106,9,Ieatwater,1294,-12,27,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",600+3,Normal,1-0
76,2024.01.01,00:36:22,wb4711,1836,-4,escaqs2021,1956,4,42,C00,"French Defense: Horwitz Attack, Papa-Ticulat Gambit",300+3,Normal,0-1
77,2024.01.01,00:37:19,droctis,1275,-5,kidum,1317,5,68,A40,Horwitz Defense,180+0,Normal,0-1
78,2024.01.01,00:38:40,skandsen,1671,-6,shadoooooooo,1662,5,88,C50,Italian Game: Paris Defense,300+3,Time forfeit,0-1
79,2024.01.01,00:39:19,cemejeal,1351,6,orlandoactuario,1378,-6,71,C40,Elephant Gambit,300+3,Normal,1-0
80,2024.01.01,00:40:32,MaxL83,1135,-7,Meryathos,1086,8,32,B01,Scandinavian Defense: Main Line,300+3,Normal,0-1
81,2024.01.01,00:40:48,Aldoggydawg,1271,-6,LarryH33,1322,5,31,C42,Russian Game: Stafford Gambit,600+5,Normal,0-1
82,2024.01.01,00:43:12,santiagoaa,1743,-3,chopyn,2000,2,74,B10,Caro-Kann Defense,300+0,Normal,0-1
83,2024.01.01,00:43:33,Axel_Unbarmherz,987,-6,chrissharp80,1015,6,22,D06,Queen's Gambit Declined: Marshall Defense,300+3,Normal,0-1
84,2024.01.01,00:43:41,bassam1000,1558,5,Patakes,1502,-4,57,B30,Sicilian Defense: Old Sicilian,300+0,Normal,1-0
85,2024.01.01,00:45:12,AleksIvano,1968,15,cleudiomar85,1976,-6,50,C78,Ruy Lopez: Morphy Defense,300+0,Normal,1-0
86,2024.01.01,00:45:20,p3rPetual1Nsomni4,1351,-6,Aihya,1326,42,56,A45,Indian Defense,180+0,Normal,0-1
87,2024.01.01,00:45:39,Highfly08,1431,4,growling48,1327,-4,111,C42,Russian Game: Stafford Gambit,300+3,Normal,1-0
88,2024.01.01,00:45:50,Julianmontoto,2011,6,Paxell,2010,-5,49,B56,Sicilian Defense: Classical Variation,180+0,Normal,1-0
89,2024.01.01,00:46:07,harfa,2199,-8,Diegoumbacia,2057,8,50,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",300+0,Normal,0-1
90,2024.01.01,00:46:06,koce2305,1868,-6,perakgk,1863,6,64,B01,Scandinavian Defense: Modern Variation,180+0,Normal,0-1
91,2024.01.01,00:47:05,jpmack,1166,7,jesus-acosta,1227,-7,27,D20,Queen's Gambit Accepted: Old Variation,600+0,Normal,1-0
92,2024.01.01,00:47:16,maska82,1030,-34,radtechkau,1071,5,60,B10,Caro-Kann Defense,300+0,Normal,0-1
93,2024.01.01,00:47:16,AnotherZuluBoy,1627,5,kreisermj,1618,-14,193,B02,Alekhine Defense: Normal Variation,300+0,Time forfeit,1-0
94,2024.01.01,00:47:41,OneChessplayerMore,2165,6,Horus_88,2154,-6,77,C25,Vienna Game: Max Lange Defense,180+0,Normal,1-0
95,2024.01.01,00:48:01,PetherLange,1078,6,Baboochess1,1105,-6,45,D00,Queen's Pawn Game,180+0,Normal,1-0
96,2024.01.01,00:48:36,Mot55,1535,6,Przemekdi,1531,-6,47,C55,Italian Game: Two Knights Defense,900+4,Normal,1-0
97,2024.01.01,00:48:31,Giftmumba5050,1356,38,NogmAgus,1251,-4,49,B30,Sicilian Defense: Old Sicilian,15+0,Time forfeit,1-0
98,2024.01.01,00:48:37,vladimirputan,2496,-8,Aprenderdenuevo,2353,8,52,B23,Sicilian Defense: Closed,180+2,Normal,0-1
99,2024.01.01,00:49:44,yoracrichard,2261,-5,Clepa,2301,5,40,A46,Indian Defense: Knights Variation,180+0,Normal,0-1
100,2024.01.01,00:49:44,Trapsoul,1278,-5,loquito23,1282,6,74,C54,"Italian Game: Classical Variation, Giuoco Pianissimo",300+3,Time forfeit,0-1
101,2024.01.01,00:49:49,brutal_999,1942,6,anderslimpar,1923,-18,39,B50,Sicilian Defense: Modern Variations,60+0,Normal,1-0
102,2024.01.01,00:49:44,redytar,1942,-2,sati78,1832,1,80,A00,Hungarian Opening,600+5,Normal,1/2-1/2
103,2024.01.01,00:51:18,sesebaba,1314,13,anirudh_2012,1245,-6,36,D02,Queen's Pawn Game: Krause Variation,600+0,Normal,1-0
104,2024.01.01,00:51:42,Golden_Boy_8,1266,13,guillerminmin,1204,-4,49,A07,King's Indian Attack,300+0,Normal,1-0
105,2024.01.01,00:53:59,Andji2023,1614,6,dasanasa,1627,-6,51,B50,Sicilian Defense: Modern Variations,300+3,Normal,1-0
106,2024.01.01,00:54:07,Bobby_Fan963,1724,-9,DarkHess,1713,9,78,B45,"Sicilian Defense: Taimanov Variation, Normal Variation",180+0,Normal,0-1
107,2024.01.01,00:54:52,thenuclearoption,1356,-6,tedyeldespiadado4,1370,12,119,B00,Owen Defense,300+3,Normal,0-1
108,2024.01.01,00:55:14,Darren_277,1847,-5,JosmarAzopardy,1837,25,48,C02,"French Defense: Advance Variation, Euwe Variation",600+0,Normal,0-1
109,2024.01.01,00:57:29,Typhors,1173,-11,emiryasa,1247,11,47,C29,Vienna Game: Vienna Gambit,600+0,Normal,0-1
110,2024.01.01,00:57:24,moongs,1016,58,Marlowe19,1166,-7,63,C44,King's Knight Opening: Normal Variation,900+10,Time forfeit,1-0
111,2024.01.01,00:57:35,agbleon,1838,0,RLDois,1867,-2,93,C30,King's Gambit Declined: Mafia Defense,180+0,Normal,1/2-1/2
112,2024.01.01,00:57:35,arcruzm_0,1547,9,B-JR7,1539,-7,43,A40,Polish Defense,600+0,Normal,1-0
113,2024.01.01,00:57:54,joezjo,2180,4,Kobylka1,2057,-4,135,B13,Caro-Kann Defense: Exchange Variation,120+0,Normal,1-0
114,2024.01.01,00:58:19,garcoberto9321,1735,28,chana1,1809,-7,45,D35,Queen's Gambit Declined: Normal Defense,180+0,Time forfeit,1-0
115,2024.01.01,00:58:20,fetnenekjfe7,2041,23,Tolga-28,1933,-4,51,A40,Horwitz Defense,60+0,Normal,1-0
116,2024.01.01,00:58:43,Idhemess75,1341,7,dmitry_pol,1355,-6,31,D00,Queen's Pawn Game: Accelerated London System,300+0,Normal,1-0
117,2024.01.01,00:58:55,format34,1707,-6,returntomonke90,1621,27,36,B21,Sicilian Defense: Smith-Morra Gambit,180+2,Normal,0-1
118,2024.01.01,00:59:34,Bath_Tal,2077,-8,MoiRon,2062,6,50,B02,Alekhine Defense: Scandinavian Variation,600+0,Normal,0-1
119,2024.01.01,01:00:10,manelra,1490,6,antoon127,1484,-6,39,D30,Queen's Gambit Declined,600+0,Normal,1-0
120,2024.01.01,01:00:42,Indurain9195,1942,-5,BishopofBray,2005,36,58,B29,Sicilian Defense: Nimzowitsch Variation,300+0,Normal,0-1
121,2024.01.01,01:01:20,icarorobertovs,1627,106,n_marques,1719,-6,93,D21,Queen's Gambit Accepted: Rosenthal Variation,600+0,Normal,1-0
122,2024.01.01,01:01:26,Cristofer08,2340,-10,FlyingPan,2314,12,41,D02,Queen's Pawn Game: Zukertort Variation,600+0,Normal,0-1
123,2024.01.01,01:01:37,mariellekulet21,1802,18,sorinm,1972,-9,93,B30,Sicilian Defense: Old Sicilian,600+0,Normal,1-0
124,2024.01.01,01:02:57,Gonz4lo,1605,-11,selanicne24,1514,7,33,A40,Queen's Pawn Game: Modern Defense,180+0,Normal,0-1
125,2024.01.01,01:03:27,Aithur_1,2358,6,zein-162,2300,-4,109,B38,"Sicilian Defense: Accelerated Dragon, Maróczy Bind",600+0,Normal,1-0
126,2024.01.01,01:04:06,doubleemmartin,1108,6,FHMST,1148,-6,41,C43,Russian Game: Modern Attack,600+0,Normal,1-0
127,2024.01.01,01:05:06,michelyglesias,2261,5,Raptureman,2257,-6,113,E65,"King's Indian Defense: Fianchetto Variation, Yugoslav Variation",180+0,Time forfeit,1-0
128,2024.01.01,01:05:40,Coder3,1354,-6,BlunderBender69,1377,7,120,D00,Queen's Pawn Game: Accelerated London System,600+0,Normal,0-1
129,2024.01.01,01:05:52,jamescolbytan,1347,17,pequecalle,1279,-5,95,C60,Ruy Lopez,600+0,Normal,1-0
130,2024.01.01,01:05:46,trumjeter,1599,-7,danigonez,1512,8,50,B12,"Caro-Kann Defense: Advance Variation, Tal Variation",180+2,Normal,0-1
131,2024.01.01,01:06:02,ser9br,1649,6,thepublicguy,1651,-5,55,C41,Philidor Defense: Steinitz Variation,600+0,Normal,1-0
132,2024.01.01,01:07:00,RAMESHSINGHRAWAT1,1224,-6,BarisAyar,1238,6,74,A04,Zukertort Opening: Sicilian Invitation,300+0,Time forfeit,0-1
133,2024.01.01,01:07:36,Magnusdetabasco,2157,6,Norv_chizuru,2197,-7,51,D04,Queen's Pawn Game: Colle System,120+1,Normal,1-0
134,2024.01.01,01:07:56,Lax12,1884,8,f1beep,2013,-8,63,A45,Indian Defense,120+1,Normal,1-0
135,2024.01.01,01:08:02,Pepecamacho,1622,-4,SergeiVos,1715,4,48,A40,Horwitz Defense,360+0,Normal,0-1
136,2024.01.01,01:08:11,Brainer2299,1912,-6,kawama,1900,6,44,A00,Mieses Opening: Reversed Rat,60+0,Normal,0-1
137,2024.01.01,01:08:29,black371,742,9,camiloreli,825,-7,31,C40,King's Pawn Game: Busch-Gass Gambit,60+0,Normal,1-0
138,2024.01.01,01:09:09,Nazgul70,1171,-6,bunyaminyldz,1060,56,54,C20,King's Pawn Game: Leonardis Variation,120+0,Normal,0-1
139,2024.01.01,01:09:23,mazzo59,1757,4,ManOfCastille,1621,-4,53,A53,Old Indian Defense,180+2,Normal,1-0
140,2024.01.01,01:09:35,trucad,1083,-8,M0h1n,1083,6,70,C40,King's Pawn Game: McConnell Defense,300+3,Time forfeit,0-1
141,2024.01.01,01:10:00,T1DRE,1329,-7,Dr-WeSaM,1223,90,44,B06,Modern Defense,300+0,Normal,0-1
142,2024.01.01,01:10:08,sldg-thomas,1104,-2,MichalK1990,964,5,140,B01,Scandinavian Defense,300+0,Normal,1/2-1/2
143,2024.01.01,01:10:09,BerkovichGambit,1739,5,Einersandoval01,1723,-27,77,B00,Owen Defense: Smith Gambit,60+0,Time forfeit,1-0
144,2024.01.01,01:10:44,AggrroN2,1980,-5,FunnyBunny95,2015,5,78,B20,Sicilian Defense: Staunton-Cochrane Variation,180+2,Normal,0-1
145,2024.01.01,01:11:11,legionario011,1621,-5,yaf2011,1635,6,88,A00,Mieses Opening: Reversed Rat,60+0,Time forfeit,0-1
146,2024.01.01,01:11:42,othrana,1499,-6,Leito_hz,1506,6,56,B01,Scandinavian Defense: Modern Variation,120+1,Normal,0-1
147,2024.01.01,01:11:51,yoadad,1597,-8,copostanleybranco,1504,8,68,B10,Caro-Kann Defense,180+0,Time forfeit,0-1
148,2024.01.01,01:12:36,Haaland_Maguire,936,8,Dr1mustafa,953,-8,51,C60,Ruy Lopez,300+3,Normal,1-0
149,2024.01.01,01:13:52,santoshbzaware,1174,-5,elunkin,1198,5,40,C57,"Italian Game: Two Knights Defense, Fried Liver Attack",60+0,Time forfeit,0-1
150,2024.01.01,01:13:58,hjkhuy7,1027,10,vvvtgrs,949,-4,141,C40,Elephant Gambit,600+0,Normal,1-0
151,2024.01.01,01:16:16,PopkaGolnika,644,18,zozaaaa,768,-9,43,C20,King's Pawn Game,300+0,Time forfeit,1-0
152,2024.01.01,01:16:22,chess-babe7,2126,-5,mahmoudsamy10,2121,61,54,A17,"English Opening: Anglo-Indian Defense, Hedgehog System",600+0,Normal,0-1
153,2024.01.01,01:18:29,PensoPositivo,1180,7,Skysons,1269,-7,51,A06,Zukertort Opening: Tennison Gambit,600+0,Normal,1-0
154,2024.01.01,01:20:13,mmurph,1565,-8,Raccoon89,1508,6,74,C00,French Defense: Mediterranean Defense,300+3,Time forfeit,0-1
155,2024.01.01,01:20:14,Mamun8181,2119,5,HobbyloseFroesche,2148,-56,77,A45,Indian Defense,600+5,Normal,1-0
156,2024.01.01,01:20:28,zapjtoe,1595,16,Rafa_boy10,1582,-6,49,B12,Caro-Kann Defense: Advance Variation,180+2,Time forfeit,1-0
157,2024.01.01,01:20:33,Gauchous,1717,-70,Malowany,1588,7,30,A50,Slav Indian,120+1,Normal,0-1
158,2024.01.01,01:20:34,c54_f,1647,144,juanindi,1613,-4,55,B21,Sicilian Defense: Smith-Morra Gambit,600+5,Normal,1-0
159,2024.01.01,01:22:18,Mohamedkrifa,2336,4,Bntary007,2230,-4,73,B00,Nimzowitsch Defense,300+0,Normal,1-0
160,2024.01.01,01:22:34,Chinchiletto,1934,-6,nickdav10,1935,6,62,A25,"English Opening: King's English Variation, Reversed Closed Sicilian",180+0,Normal,0-1
161,2024.01.01,01:22:38,david_sam7,1297,-6,pdent,1291,6,50,C00,French Defense: Two Knights Variation,180+0,Normal,0-1
162,2024.01.01,01:24:06,humbledour,1553,-5,Vihaannarisetty,1552,12,30,B01,Scandinavian Defense: Mieses-Kotroc Variation,1800+0,Normal,0-1
163,2024.01.01,01:25:45,dyingoflight,2478,-5,Kumi,2541,4,54,A45,Trompowsky Attack: Edge Variation,180+0,Normal,0-1
164,2024.01.01,01:28:49,D34D1N51D3,937,5,foxtrott85,873,-13,73,A40,Mikenas Defense,60+0,Normal,1-0
165,2024.01.01,01:29:22,berniebeee,908,-5,lars143,942,6,34,C42,Russian Game: Three Knights Game,300+3,Normal,0-1
166,2024.01.01,01:29:41,KikwallJ,1703,5,Lisavetachess,1661,-5,65,A02,Bird Opening,300+0,Normal,1-0
167,2024.01.01,01:31:24,Ayomipe,819,9,MWXIV,855,-21,71,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Center Formation",120+1,Time forfeit,1-0
168,2024.01.01,01:31:49,lucho_suarez,1463,-71,AndrzejRomanowski,1591,4,50,C44,Irish Gambit,900+10,Normal,0-1
169,2024.01.01,01:32:09,Whynot72,2529,-6,AgsiKapin12,2499,6,86,B01,Scandinavian Defense,60+0,Normal,0-1
170,2024.01.01,01:33:09,DantePR,1289,-85,BlunderBender69,1392,4,108,D00,Queen's Pawn Game: Accelerated London System,600+0,Normal,0-1
171,2024.01.01,01:33:46,aazer10,1531,4,Kaeso,1454,-6,55,D00,Queen's Pawn Game: Accelerated London System,180+2,Normal,1-0
172,2024.01.01,01:36:15,manuelbrofar,1840,4,Chessablelife,1837,-146,39,C20,English Opening: The Whale,600+0,Normal,1-0
173,2024.01.01,01:37:38,Rondav13,1748,1,badbernardo,1801,-1,87,C41,Philidor Defense,600+0,Normal,1/2-1/2
174,2024.01.01,01:37:34,abordage,1574,-3,Battle5,1747,3,82,D38,"Queen's Gambit Declined: Ragozin Defense, Alekhine Variation",300+3,Normal,0-1
175,2024.01.01,01:37:56,Elenochka33,1576,-7,Raccoon89,1514,7,56,B15,Caro-Kann Defense: Rasa-Studier Gambit,300+3,Time forfeit,0-1
176,2024.01.01,01:38:18,Docteur-Poison,1298,-5,valentin93,1305,5,64,A40,Horwitz Defense,60+0,Time forfeit,0-1
177,2024.01.01,01:38:35,Rav1kSal3m,1827,6,medium123,1804,-11,87,B00,Owen Defense,600+0,Normal,1-0
178,2024.01.01,01:39:21,joevevans,748,-12,evangelieP,817,6,64,A45,Queen's Pawn Game: Chigorin Variation,300+3,Normal,0-1
179,2024.01.01,01:39:28,comandante23,2053,5,SAIMON1975,2040,-5,67,D00,Queen's Pawn Game: Accelerated London System,180+0,Normal,1-0
180,2024.01.01,01:40:11,rafael10031,1246,-6,jhfkjj,1233,14,38,B10,Caro-Kann Defense,300+0,Normal,0-1
181,2024.01.01,01:40:20,fx-oliver,1260,15,Jairot,1282,-6,41,C00,French Defense: Knight Variation,180+0,Normal,1-0
182,2024.01.01,01:40:59,gufa,2187,7,wind_mind,2235,-7,65,B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Exchange Line",180+2,Normal,1-0
183,2024.01.01,01:41:00,Gerhard1961,1244,-6,laithhif,1230,78,90,B10,Caro-Kann Defense,600+0,Normal,0-1
184,2024.01.01,01:41:52,RajasekharKallepalli,2179,5,Miraso,2145,-11,119,C68,Ruy Lopez: Exchange Variation,600+0,Time forfeit,1-0
185,2024.01.01,01:46:22,luckyluser,2354,-3,Dmitry_Gritsenko,2502,4,86,D75,Neo-Grünfeld Defense: Delayed Exchange Variation,180+0,Normal,0-1
186,2024.01.01,01:47:30,DayandKnight1,2303,4,One_Capi,2218,-5,81,A30,English Opening: Symmetrical Variation,300+0,Normal,1-0
187,2024.01.01,01:47:40,goldsmith-x,776,10,defaltst,880,-7,35,B00,Nimzowitsch Defense: Mikenas Variation,300+0,Normal,1-0
